_id,Kota Inflasi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
1,INDONESIA,0.32,-0.08,0.11,0.44,0.68,0.55,0.31,0.12,-0.27,0.02,0.14,0.34,2.72
2,KOTA MEULABOH,0.91,-0.71,0.39,0.18,1.33,1.3,0.21,0.2,0.91,0.18,-0.5,-0.19,4.28
3,KOTA BANDA ACEH,0.43,-0.54,-0.44,0.36,1.48,0.38,-0.24,0.07,-0.55,0.07,-0.1,0.46,1.38
4,KOTA LHOKSEUMAWE,0.14,-0.68,-0.45,0.64,0.86,0.3,0.22,-0.54,-0.42,0.53,0.02,0.6,1.2
5,KOTA SIBOLGA,-0.03,-0.7,0.24,1.15,0.67,2.25,1.88,-0.58,-1.94,-0.37,-0.48,0.51,2.58
6,KOTA PEMATANG SIANTAR,0.01,-0.29,0.27,1.03,0.67,0.91,0.29,-0.4,-1.18,0.01,-0.1,0.34,1.54
7,KOTA MEDAN,0.22,-0.3,0.32,1.3,1.33,1.68,0.95,0.27,-1.92,-0.34,-0.77,-0.28,2.43
8,KOTA PADANGSIDIMPUAN,0.46,-0.45,0.25,0.36,0.27,1.79,0.06,0.2,-0.95,0.35,-0.05,-0.13,2.15
9,KOTA PADANG,0.24,-0.44,0.33,0.44,0.86,1.07,0.89,-0.1,-0.95,-0.34,-0.34,0.07,1.72
10,KOTA BUKITTINGGI,-0.39,-0.49,0.11,0.51,0.78,1.28,0.46,0.24,-1.1,0.02,-0.1,-0.01,1.31
11,TEMBILAHAN,0.38,-0.56,0.38,1.06,1.29,0.89,0.31,-0.33,-0.28,-0.59,-0.15,-0.02,2.4
12,KOTA PEKANBARU,-0.1,-0.32,0.09,0.51,0.56,1.3,0.91,0.36,-0.23,-0.04,-0.26,-0.22,2.56
13,KOTA DUMAI,-0.04,-0.32,0.07,0.35,1.05,0.8,0.41,-0.25,-0.79,0.05,-0.12,0.07,1.28
14,BUNGO,0.29,-0.2,0.35,0.45,1.6,1.03,0.15,-0.13,-0.44,-0.18,-0.51,0.21,2.61
15,KOTA JAMBI,-0.51,-0.29,0.33,0.61,0.38,1.02,0.48,-0.84,-0.24,0.11,-0.16,0.38,1.27
16,KOTA PALEMBANG,0.14,-0.24,-0.01,0.55,0.38,0.56,0.39,-0.16,-0.16,-0.09,0.3,0.39,2.06
17,KOTA LUBUKLINGGAU,0.26,-0.4,0.11,0.36,0.88,0.49,0.45,-0.07,-0.31,0.03,0.04,0.25,2.1
18,KOTA BENGKULU,0.88,-0.28,-0.23,0.54,1.11,0.76,0.56,-0.86,0.64,-0.56,-0.27,0.59,2.91
